"id","product_id","date","categories","brand","name","merchant","quantity","unit_price"
1,44342,"2017-03-02","Camera & Photo","Panasonic","Lumix G 25mm f/1.7 ASPH. Lens","Bestbuy.com",1,"USD201,99"
2,46876,"2017-03-02","Camera & Photo","Sony","Cyber-shot DSC-WX220 Digital Camera (Black)","Bestbuy.com",1,"USD159,99"
3,12136,"2017-03-02","Camera & Photo","Sony","Sony - BC-TRX Battery Charger - Black","Bestbuy.com",1,"USD26,99"
6,79238,"2017-03-03","Accessories & Supplies","Insignia","Insignia - Fixed TV Wall Mount For Most 40-70"""" TVs - Black NS-HTVMF0C""""","Bestbuy.com",1,"USD56,99"
7,46643,"2017-03-03","Camera & Photo","Sony","Cyber-shot DSC-RX100 V Digital Camera","Bestbuy.com",1,"USD849,99"
8,9472,"2017-03-03","Camera & Photo","Yamaha","R-S202 Stereo Receiver with Bluetooth (Black)","Bestbuy.com",1,"USD125,99"
9,11868,"2017-03-03","Car & Vehicle Electronics","Alpine","Alpine - 5 x 7"""" 2-Way Coaxial Car Speakers with Poly-Mica Cones (Pair) - Black""""","Bestbuy.com",1,"USD74,99"
10,50731,"2017-03-03","Car & Vehicle Electronics","Alpine","Alpine - 6 x 9"""" 2-Way Coaxial Car Speakers with Polypropylene Cones (Pair) - Black""""","Bestbuy.com",1,"USD54,99"
11,20312,"2017-03-03","Car & Vehicle Electronics","Alpine","Alpine - 6-1/2 2-Way Component Car Speakers with Poly-Mica Cones (Pair) - Black""""","Bestbuy.com",1,"USD112,99"
12,40141,"2017-03-03","Car & Vehicle Electronics","Alpine","Alpine KTP-445U Universal Power Pack Amplifier for Use w/ Aftermarket Head Units","Bestbuy.com",1,"USD123,99"
13,12703,"2017-03-03","Car & Vehicle Electronics","Alpine","Details About Alpine 480w 6.5 2way Typee Coaxial Car Speakers W/ Silk Tweeters | Spe6000""""","Bestbuy.com",1,"USD71,99"
14,61695,"2017-03-03","Car & Vehicle Electronics","Kenwood","Details About Kenwood 12 Inch 2000 Watt 4 Ohm Single Voice Coil Audio Subwoofer | Kfcw3016ps","Bestbuy.com",1,"USD105,99"
15,81086,"2017-03-03","Car & Vehicle Electronics","Kenwood","Details About Kenwood Ddx375bt Car Double Din 6.2 Touchscreen Usb Dvd Cd Bluetooth Stereo""""","Bestbuy.com",1,"USD214,99"
16,23615,"2017-03-03","Car & Vehicle Electronics","Kenwood","Kenwood CD Single DIN In-Dash Bluetooth Car Stereo Receiver KDC-BT365U","Bestbuy.com",1,"USD83,99"
17,9884,"2017-03-03","Car & Vehicle Electronics","Kenwood","Kenwood DDX9703S 6.95 Double-DIN In-Dash DVD Receiver with Bluetooth","Bestbuy.com",1,"USD479,99"
18,24380,"2017-03-03","Car & Vehicle Electronics","Kenwood","Kenwood KFC-1653MRW 6.5 2-way Marine Speakers Pair (White)""""","Bestbuy.com",1,"USD89,99"
19,1320,"2017-03-03","Car & Vehicle Electronics","Pioneer","Pioneer 200W 4x6 Inch 3 Way 4 Ohms Coaxial Car Audio Speakers Pair | TS-A4676R","Bestbuy.com",1,"USD71,99"
