dateSeen,brand,name,categories,prices_before,prices_after,prices_disc,availability,views
02/28/19 07:00,Minnetonka,Women's Chesney Scuff,Sandals & Slippers,35.8,31.96,10.73%,FALSE,23
02/28/19 08:00,Brinley Co.,Brinley Co. Women's Almond Toe Flats,Flats,36.99,24.99,32.44%,TRUE,37
02/28/19 08:00,Brinley Co.,Brinley Co. Women's Medium and Wide Width Mary Jane Patent Leather Pumps,Heels,39.59,29.99,24.25%,TRUE,59
02/28/19 08:00,Propet,Propet Wash Wear Slip-on - Casual - Women's - Black,Sandals & Slippers,83.78,82.95,0.99%,TRUE,72
02/28/19 08:00,Touch Ups,Women's Touch Ups Fran,Sandals & Slippers,47.63,47.16,0.99%,TRUE,1
02/28/19 08:00,Propet,Women's Propet Breeze Walker,Sneakers,58.24,57.66,1%,TRUE,167
02/28/19 09:00,Minnetonka,women's minnetonka suede ankle boot,Boots,50.45,49.95,0.99%,TRUE,1
02/28/19 09:00,Brinley Co.,Women's Pointed Toe Ankle Wrap T-strap D'orsay Flats,Flats,35.74,24.99,30.08%,TRUE,40
02/28/19 09:00,Brinley Co.,Womens Stacked Wood Heel Crossover Ankle Strap D'orsay Dress Flats,Flats,30.32,18.95,37.5%,TRUE,40
02/28/19 09:00,Brinley Co.,Womens Pointed Toe Faux Leather Flats,Flats,19.14,18.95,0.99%,TRUE,1
02/28/19 09:00,Brinley Co.,Womens Classic Bow Pointed Toe Casual Ballet Flats,Flats,25.24,24.99,0.99%,TRUE,1
02/28/19 09:00,Brinley Co.,Womens Stacked Wood Heel Almond Toe D'Orsay Flats,Flats,20.15,19.95,0.99%,TRUE,1
02/28/19 09:00,Brinley Co.,Womens Cross Strap Pointed Toe Flats,Flats,28.27,27.99,0.99%,TRUE,1
02/28/19 09:00,Brinley Co.,Womens Pointed Toe Classic Flats,Flats,17.68,17.5,1.02%,TRUE,1
02/28/19 09:00,Brinley Co.,Womens Pointed Toe Strappy Gladiator Flats,Flats,32.12,19.95,37.89%,TRUE,43
02/28/19 09:00,Brinley Co.,Brinley Co. Womens D'Orsay Flat,Flats,43.55,32.99,24.25%,TRUE,41
02/28/19 09:00,Brinley Co.,Brinley Co. Women's Cut-out Pointed Toe Fashion Flats,Flats,36.99,24.99,32.44%,TRUE,47
03/01/19 03:00,Bearpaw,"Bearpaw Girls EMMA Slip on Boot (Little Kid/Big Kid), Hickory II, 5 M US Little Kid",Boots,35.24,24.47,30.56%,TRUE,1
03/01/19 03:00,Bearpaw,Bearpaw Youth Emma Boot,Boots,40.35,39.95,0.99%,FALSE,1
03/26/19 03:00,Minnetonka,women's minnetonka leopard kilty moc,Flats,39.21,32.95,15.97%,TRUE,30
03/26/19 03:00,Minnetonka,Women's Chesney Scuff,Sandals & Slippers,40.35,39.95,0.99%,TRUE,23
04/03/19 03:00,Brinley Co.,Brinley Co. Women's Medium and Wide Width Mary Jane Patent Leather Pumps,Heels,33.8,22.99,31.98%,TRUE,10
04/03/19 08:00,Minnetonka,Women's Chesney Scuff,Sandals & Slippers,40.35,39.95,0.99%,TRUE,2
